id_auditoria,decision,motivo,accion_v159,estado_aplicacion
EVT-ORD-0827,EXCLUIR,Caso García Ortiz,Excluir de cronología Loroño,Auditado NotebookLM
EVT-ORD-0828,EXCLUIR,Caso García Ortiz,Excluir de cronología Loroño,Auditado NotebookLM
EVT-ORD-0829,EXCLUIR,Caso García Ortiz,Excluir de cronología Loroño,Auditado NotebookLM
EVT-ORD-0822,CONFIRMADO,Acto administrativo de 14-01-2022: medida cautelar de evitar coincidencia; tutorías y sustituto solo alegados posteriormente,Mantener acto administrativo documentado; separar medida literal y ejecución alegada,Auditado NotebookLM
EVT-ORD-0823,CORREGIR-PARCIAL,ITSS 30-10-2012 dice que comportamiento de algunas personas no fue correcto; detalles del examen de 2005 son alegación de Loroño,"Atribuir a Loroño cambio de fecha, acusación, disculpa e inacción; citar valoración literal ITSS",Auditado NotebookLM
EVT-ORD-0835,CORREGIR-PARCIAL,"resolución de 14-01-2022 acreditada; encargo a Gerenabarrena, plazo, apercibimiento y valoraciones son alegaciones de Loroño","Mantener resolución y medidas cautelares; atribuir a Loroño información reservada, falta de notificación, resultado sancionador e indefensión alegada",Auditado en NotebookLM
EVT-ORD-0842,CONFIRMADO,solicitud de 23-06-2025 documentada; origen laboral común de IT es alegación de Loroño,Mantener como hito administrativo de inicio de expediente; atribuir a Loroño el origen laboral alegado,Auditado en NotebookLM
EVT-ORD-0845,CONFIRMADO (COMO ALEGACIÓN),"escrito de Loroño documentado; alteración de actas, habilitaciones y contrataciones no acreditadas autónomamente",Clasificar como declaración o alegación documentada,Auditado en NotebookLM
EVT-ORD-0846,EXCLUIR,jurisprudencia comparativa externa: STSJ Asturias 1121/2024,Excluir de cronología; conservar solo como jurisprudencia comparativa,Auditado en NotebookLM
EVT-ORD-0847,CORREGIR-PARCIAL,informe ITSS 30-10-2012 y denuncia IP-107-2018 acreditados; instrucción sobre IT y expedientes sin respuesta son relato de Loroño,Mantener denuncia como comunicación documentada; atribuir a Loroño la interpretación de la actuación inspectora,Auditado en NotebookLM
EVT-ORD-0850,CONFIRMADO,Sentencia 187/2022 y STSJ PV 299/2023 acreditan nulidad e indefensión material,Mantener como hecho judicial documentado; excluir imputaciones por prevaricación e intrusismo,Auditado en NotebookLM
EVT-ORD-0851,PENDIENTE,borrador de denuncia dirigido al Rector sin justificante de registro de entrada,No usar como denuncia presentada hasta localizar justificante; conservar solo como escrito redactado,Auditado en NotebookLM
EVT-ORD-0852,PENDIENTE,borrador de denuncia penal de 18-04-2026 sin justificante de presentación,Clasificar como escrito redactado; no consta presentación formal,Auditado en NotebookLM
EVT-ORD-0853,PENDIENTE,borrador de reclamación AVPD sin registro de entrada; distinto de EVT-ORD-0808,Clasificar como escrito redactado; no consta presentación de esta versión específica,Auditado en NotebookLM
EVT-ORD-0854,PENDIENTE,borrador de denuncia administrativa al Rector sin registro de entrada,Clasificar como escrito redactado; no consta presentación formal,Auditado en NotebookLM
EVT-ORD-0855,CONFIRMADO (COMO ALEGACIÓN),escritos registrados recogen relato de Loroño sobre visita preventiva de 2021,Mantener como declaración o alegación documentada,Auditado en NotebookLM
EVT-ORD-0856,CORREGIR-PARCIAL,periodo IT incluido en solicitud registrada 27-11-2019; diagnóstico y origen laboral son pretensión,"Atribuir periodo, diagnóstico y nexo causal al contenido de la solicitud",Auditado en NotebookLM
EVT-ORD-0857,CORREGIR-PARCIAL,segundo periodo IT incluido en solicitud registrada 27-11-2019,Atribuir fechas y origen laboral al contenido de la solicitud,Auditado en NotebookLM
EVT-ORD-0858,CORREGIR-PARCIAL,tercer periodo IT incluido en solicitud registrada 27-11-2019,Atribuir fechas y origen laboral al contenido de la solicitud,Auditado en NotebookLM
EVT-ORD-0859,CORREGIR-PARCIAL,cuarto periodo IT reclamado en 2019; asistencia psiquiátrica consta separadamente,Mantener asistencia especializada acreditada; atribuir baja y nexo a la solicitud,Auditado en NotebookLM
EVT-ORD-0860,CORREGIR-PARCIAL,quinto periodo IT en solicitud registrada de 2019; nexo laboral controvertido,Mantener periodo y solicitud; atribuir causalidad y valoración del conflicto a Loroño,Auditado en NotebookLM
EVT-ORD-0861,CORREGIR-PARCIAL,periodo IT incluido en solicitud registrada de 23-06-2025,Atribuir diagnóstico y origen laboral al contenido de la solicitud,Auditado en NotebookLM
EVT-ORD-0862,CORREGIR-PARCIAL,segundo periodo IT incluido en solicitud de 23-06-2025,Atribuir a Loroño la vinculación con estrés laboral,Auditado en NotebookLM
EVT-ORD-0863,CORREGIR-PARCIAL,tercer periodo IT incluido en solicitud de 23-06-2025,Mantener relación temporal con resolución de 14-01-2022; atribuir causalidad a Loroño,Auditado en NotebookLM
EVT-ORD-0864,CORREGIR-PARCIAL,cuarto periodo IT incluido en solicitud de 23-06-2025,Atribuir origen profesional a la pretensión del interesado,Auditado en NotebookLM
EVT-ORD-0865,REUBICAR,jurisprudencia citada: STC 202/1999,Mover a marco jurídico; atribuir subsunción del caso a Loroño,Auditado en NotebookLM
EVT-ORD-0866,REUBICAR,jurisprudencia citada: STC 196/2004,Mover a marco jurídico; atribuir aplicación al caso a Loroño,Auditado en NotebookLM
