id_auditoria,decision,motivo,accion_v159,estado_aplicacion
EVT-ORD-0819,EXCLUIR,CASO_AJENO — Denuncia penal de Doña María contra la secretaria de la Mancomunidad y sentencia por injurias. Caso judicial ajeno a la UPV/EHU y a Loroño.,Excluir de cronología personal; caso ajeno sin analogía directa aplicable,Decidido v009
EVT-ORD-0820,PENDIENTE,Fuente no localizada,No usar hasta localizar fuente,Auditado NotebookLM
EVT-ORD-0821,EXCLUIR,Jurisprudencia ajena citada en resolución UPV/EHU,Excluir cronología; conservar referencia de resolución,Auditado NotebookLM
EVT-ORD-0824,EXCLUIR,Caso García Ortiz,Excluir de cronología Loroño,Auditado NotebookLM
EVT-ORD-0825,EXCLUIR,Caso García Ortiz,Excluir de cronología Loroño,Auditado NotebookLM
EVT-ORD-0826,EXCLUIR,Caso García Ortiz,Excluir de cronología Loroño,Auditado NotebookLM
EVT-ORD-0827,EXCLUIR,Caso García Ortiz,Excluir de cronología Loroño,Auditado NotebookLM
EVT-ORD-0828,EXCLUIR,Caso García Ortiz,Excluir de cronología Loroño,Auditado NotebookLM
EVT-ORD-0829,EXCLUIR,Caso García Ortiz,Excluir de cronología Loroño,Auditado NotebookLM
EVT-ORD-0822,CONFIRMADO,Acto administrativo de 14-01-2022: medida cautelar de evitar coincidencia; tutorías y sustituto solo alegados posteriormente,Mantener acto administrativo documentado; separar medida literal y ejecución alegada,Auditado NotebookLM
EVT-ORD-0823,CORREGIR-PARCIAL,ITSS 30-10-2012 dice que comportamiento de algunas personas no fue correcto; detalles del examen de 2005 son alegación de Loroño,"Atribuir a Loroño cambio de fecha, acusación, disculpa e inacción; citar valoración literal ITSS",Auditado NotebookLM
EVT-ORD-0835,CORREGIR-PARCIAL,"resolución de 14-01-2022 acreditada; encargo a Gerenabarrena, plazo, apercibimiento y valoraciones son alegaciones de Loroño","Mantener resolución y medidas cautelares; atribuir a Loroño información reservada, falta de notificación, resultado sancionador e indefensión alegada",Auditado en NotebookLM
EVT-ORD-0842,CONFIRMADO,solicitud de 23-06-2025 documentada; origen laboral común de IT es alegación de Loroño,Mantener como hito administrativo de inicio de expediente; atribuir a Loroño el origen laboral alegado,Auditado en NotebookLM
EVT-ORD-0845,CONFIRMADO (COMO ALEGACIÓN),"escrito de Loroño documentado; alteración de actas, habilitaciones y contrataciones no acreditadas autónomamente",Clasificar como declaración o alegación documentada,Auditado en NotebookLM
EVT-ORD-0846,EXCLUIR,jurisprudencia comparativa externa: STSJ Asturias 1121/2024,Excluir de cronología; conservar solo como jurisprudencia comparativa,Auditado en NotebookLM
EVT-ORD-0847,CORREGIR-PARCIAL,informe ITSS 30-10-2012 y denuncia IP-107-2018 acreditados; instrucción sobre IT y expedientes sin respuesta son relato de Loroño,Mantener denuncia como comunicación documentada; atribuir a Loroño la interpretación de la actuación inspectora,Auditado en NotebookLM
EVT-ORD-0850,CONFIRMADO,Sentencia 187/2022 y STSJ PV 299/2023 acreditan nulidad e indefensión material,Mantener como hecho judicial documentado; excluir imputaciones por prevaricación e intrusismo,Auditado en NotebookLM
EVT-ORD-0851,PENDIENTE,borrador de denuncia dirigido al Rector sin justificante de registro de entrada,No usar como denuncia presentada hasta localizar justificante; conservar solo como escrito redactado,Auditado en NotebookLM
EVT-ORD-0852,PENDIENTE,borrador de denuncia penal de 18-04-2026 sin justificante de presentación,Clasificar como escrito redactado; no consta presentación formal,Auditado en NotebookLM
EVT-ORD-0853,PENDIENTE,borrador de reclamación AVPD sin registro de entrada; distinto de EVT-ORD-0808,Clasificar como escrito redactado; no consta presentación de esta versión específica,Auditado en NotebookLM
EVT-ORD-0854,PENDIENTE,borrador de denuncia administrativa al Rector sin registro de entrada,Clasificar como escrito redactado; no consta presentación formal,Auditado en NotebookLM
EVT-ORD-0855,CONFIRMADO (COMO ALEGACIÓN),escritos registrados recogen relato de Loroño sobre visita preventiva de 2021,Mantener como declaración o alegación documentada,Auditado en NotebookLM
EVT-ORD-0856,CORREGIR-PARCIAL,periodo IT incluido en solicitud registrada 27-11-2019; diagnóstico y origen laboral son pretensión,"Atribuir periodo, diagnóstico y nexo causal al contenido de la solicitud",Auditado en NotebookLM
EVT-ORD-0857,CORREGIR-PARCIAL,segundo periodo IT incluido en solicitud registrada 27-11-2019,Atribuir fechas y origen laboral al contenido de la solicitud,Auditado en NotebookLM
EVT-ORD-0858,CORREGIR-PARCIAL,tercer periodo IT incluido en solicitud registrada 27-11-2019,Atribuir fechas y origen laboral al contenido de la solicitud,Auditado en NotebookLM
EVT-ORD-0859,CORREGIR-PARCIAL,cuarto periodo IT reclamado en 2019; asistencia psiquiátrica consta separadamente,Mantener asistencia especializada acreditada; atribuir baja y nexo a la solicitud,Auditado en NotebookLM
EVT-ORD-0860,CORREGIR-PARCIAL,quinto periodo IT en solicitud registrada de 2019; nexo laboral controvertido,Mantener periodo y solicitud; atribuir causalidad y valoración del conflicto a Loroño,Auditado en NotebookLM
EVT-ORD-0861,CORREGIR-PARCIAL,periodo IT incluido en solicitud registrada de 23-06-2025,Atribuir diagnóstico y origen laboral al contenido de la solicitud,Auditado en NotebookLM
EVT-ORD-0862,CORREGIR-PARCIAL,segundo periodo IT incluido en solicitud de 23-06-2025,Atribuir a Loroño la vinculación con estrés laboral,Auditado en NotebookLM
EVT-ORD-0863,CORREGIR-PARCIAL,tercer periodo IT incluido en solicitud de 23-06-2025,Mantener relación temporal con resolución de 14-01-2022; atribuir causalidad a Loroño,Auditado en NotebookLM
EVT-ORD-0864,CORREGIR-PARCIAL,cuarto periodo IT incluido en solicitud de 23-06-2025,Atribuir origen profesional a la pretensión del interesado,Auditado en NotebookLM
EVT-ORD-0865,REUBICAR,jurisprudencia citada: STC 202/1999,Mover a marco jurídico; atribuir subsunción del caso a Loroño,Auditado en NotebookLM
EVT-ORD-0866,REUBICAR,jurisprudencia citada: STC 196/2004,Mover a marco jurídico; atribuir aplicación al caso a Loroño,Auditado en NotebookLM
EVT-ORD-0790,EXCLUIR,"CASO_AJENO — Decreto de la Mancomunidad que ordena acatar sentencia sobre ocupación efectiva de Herminia y la nombra secretaria-interventora en funciones. Hechos administrativos de Herminia, no de Loroño.",Excluir de cronología personal; conservar como jurisprudencia comparativa en apartado separado,Decidido v009
EVT-ORD-0791,EXCLUIR,CASO_AJENO — Sentencia TSJPV 1050/2014 (Recurso 875/2014) sobre Herminia vs. Mancomunidad de las Encartaciones; cuantifica daños físico/morales. Litigio de tercera persona.,Excluir de cronología personal; conservar como jurisprudencia comparativa sobre daños en acoso,Decidido v009
EVT-ORD-0501,CONFIRMAR,"[HECHO_PROPIO] Correo Loroño a Aldezle/Henares 18/01/2022. NOTA: el grafo dice ""confirma baja médica"" pero el doc dice ""temo que cuando vaya al médico me pongan de baja"" — es temor antes de la baja, no confirmación. Diferencia menor; hecho propio verificado.","Incorporar con matiz: ""temía que le pusieran de baja""; no ""confirmó baja""",Auditado NbLM lote1 — FIABLE
EVT-ORD-0502,PENDIENTE,[FUENTE_NO_LOCALIZADA] Correo 20/02/2022 a Alberto López no localizado en 101_ocred_merged.txt. Consta justificante de notificación del 10/02/2022 pero no el contenido del correo del día 20.,Localizar 101_ocred_merged.txt y verificar fecha y destinatarios antes de usar,Auditado NbLM lote1 — FIABLE
EVT-ORD-0515,CORREGIR,"[HECHO_PROPIO] Fecha incorrecta: debe ser 2012 (no 2013). Además, la auditoría de UGAs y la congelación de cuentas figura como ALEGACIÓN de Loroño, no como orden administrativa probada: el doc acredita que Loroño alega que el encargo vino de una queja de 2010, pero no consta la orden original de Unzilla.","Corregir fecha a 2012. Redactar como ""Loroño alega que Unzilla ordenó auditoría UGAs"" no como hecho probado",Auditado NbLM lote1 — FIABLE
EVT-ORD-0517,CORREGIR,"[HECHO_PROPIO] Fecha del grafo (2019-06-01) no coincide con la evidencia documental: el lote acredita denuncia de sept 2020 sobre asignación a Clemente en GAUR (""alguien con acceso al GAUR ha grabado a Manuel Clemente como profesor""). Debe redactarse como denuncia de Loroño sobre alteración del encargo docente, no como hecho administrativo probado.","Corregir fecha a sept 2020. Redactar como denuncia de Loroño sobre alteración GAUR, no como decisión de Basterretxea probada",Auditado NbLM lote1 — FIABLE
EVT-ORD-0522,CORREGIR,"[HECHO_PROPIO] Error de emisor: el documento es un correo DE Loroño A MUFACE (10/09/2020), no una comunicación de MUFACE a Loroño. La fecha en el grafo (2020-09-21) también es incorrecta: el doc es del 10/09/2020.",Corregir: Loroño escribe A MUFACE el 10/09/2020 consultando normativa de recaídas tras los 730 días de IT,Auditado NbLM lote1 — FIABLE
EVT-ORD-0523,PENDIENTE,[FUENTE_NO_LOCALIZADA] 43_ocred.txt en el lote es un correo de Loroño a la Aldezle (21/09/2020) sobre alteración del encargo docente. No contiene comunicación de Katrin Iturrate ni confirmación de la ITSS. Fuente incorrecta para este evento.,Localizar el documento correcto que acredite la confirmación de Iturrate antes de usar,Auditado NbLM lote1 — FIABLE
EVT-ORD-0503,CORREGIR-PARCIAL,"[HECHO_PROPIO] Cabecera del correo CONFIRMADA en [237-287_compressed_ocred.pdf] pág.261: ""De: Iñaki Loroño lucena Para: aldezle@ehu.eus Fecha: lunes, 2 de mayo de 2022, 11:42 CEST. Asunto: Re: Recomendación Aldezle Dep CCTT Navegación"". El cuerpo íntegro no se visualiza en el extracto. La escolta de guardas queda acreditada contextualmente: pág.257 (16/02/2022) Loroño dice literalmente ""el SP (César Saiz) me ha puesto protección con guardas de seguridad los días que doy clase""; ratificado por Henares/UGT en pág.237 (26/01/2022). CORRECCIÓN: el documento fuente real es 237-287_compressed_ocred.pdf (Lote_014), no 104_ocred_merged.txt como indicaba el grafo.",Corregir fuente: 237-287_compressed_ocred.pdf pág.261. El hecho central (escolta no comunicada) está acreditado contextualmente en págs.237 y 257. Cuerpo exacto del correo 02/05/2022 pendiente de visualización completa pero el encabezado y la fecha quedan confirmados.,CORREGIR-PARCIAL — cuaderno2 reverif
EVT-ORD-0504,CONFIRMAR,"[HECHO_PROPIO] CONFIRMADO. Correo Loroño 02/05/2022 10:11 CEST a Zurimendi, Recart, Ferreira, Saiz, Aldezle, Bilbao. Cita literal verificada: ""El secretario y director del departamento siguen negándose a entregar la documentación solicitada hace un año, como son las actas, convocatorias, documentación, cambio de área de conocimiento de Iranzu Sotés, grabaciones de las sesiones del consejo, etc.""","Incorporar con cita literal verificada. Fuente: 109_ocred.txt, Lote_015",CONFIRMADO NbLM reverif3
EVT-ORD-0505,PENDIENTE,"[HECHO_PROPIO] PENDIENTE confirmado (cuaderno B limpio, sin CSV). 10_ocred_merged.txt revisado íntegramente: la correspondencia más reciente es del 23/08/2011. No consta ningún correo de septiembre 2011 sobre urgencia de medidas cautelares ni plazos del protocolo. Los correos sobre medidas cautelares en ese archivo son de mayo y junio 2011. El correo de sept 2011 puede estar en otro archivo del Lote_004 no examinado.",No usar como hecho probado con esta fuente. Buscar en otros archivos del Lote_004 (14_ocred_merged.txt u otros) o marcar como ALEGACIÓN hasta localizar el documento.,PENDIENTE confirmado — cuaderno B limpio (sin CSV)
EVT-ORD-0506,CONFIRMAR,"[HECHO_PROPIO] CONFIRMADO (nota: NbLM etiquetó este evento como EVT-ORD-0505 en su respuesta, pero el contenido coincide exactamente con EVT-ORD-0506). Correo Loroño 14/05/2022 08:15 CEST. Acredita que el día anterior (13/05/2022) el Secretario General Aitor Zurimendi manifestó en reunión presencial a Loroño y Miguel Henares que ""las actas solicitadas y su documentación ya habían sido entregadas además de todo lo demás solicitado"". Loroño rebate esta afirmación citando su correo del 2 de mayo.","Incorporar con cita literal verificada. Fuente: 110_ocred.txt, Lote_015",CONFIRMADO NbLM reverif3 (corregido error de ID en respuesta NbLM)
EVT-ORD-0507,CONFIRMAR,"[HECHO_PROPIO] CONFIRMADO. Denuncia formal ""Nueva denuncia por acoso laboral"" dirigida a Rectora y autoridades. Firmada electrónicamente por Iñaki Loroño Lucena el 16/03/2023 a las 08:23:35. ID documento verificado exacto: 95+Vi0IkaFi5PIXVchNUdqMg9Tw=","Incorporar como hecho propio documentado con firma electrónica verificada. Fuente: 113.1_ocred.txt, Lote_017",CONFIRMADO NbLM reverif3
EVT-ORD-0508,CORREGIR,"[HECHO_PROPIO] CORREGIR — el grafo describe intercambio directo con Carmen Ikaran. Lo que realmente consta es una referencia INDIRECTA en el informe oficial del Aldezle ([0-60__ocred.txt] pág.69 / [0-60__ocred.pdf] pág.20). El Aldezle cita literalmente: ""tampoco tú pusiste ningún Recurso, cosa que, según le dices en un correo de fecha 2/11/2011 a Iñigo Apellaniz, era lo que Carmen Ikaran te había dicho que hicieras."" Esto acredita: (1) existe un correo de Loroño a Apellaniz del 02/11/2011; (2) en ese correo Loroño menciona que Ikaran le dijo no poner recurso; (3) el correo directo con Ikaran no está en los extractos. La fuente real es el informe del Aldezle, no 14_ocred_merged.txt.","Corregir: hecho acreditado indirectamente vía informe Aldezle (pág.69). Cambiar descripción: ""El Aldezle acredita la existencia de un correo de Loroño a Apellaniz del 02/11/2011 donde se menciona que Carmen Ikaran le indicó no interponer recurso contra la exclusión del máster.""",CORREGIR — verificado indirectamente cuaderno2
EVT-ORD-0516,CORREGIR,"[HECHO_PROPIO] CORREGIR x2. (1) El correo del 28/03/2019 08:02 NO va a Pedro Iriondo sino AL ALDEZLE (CC: José Ramón Vega). Fuente: [0-60__ocred.txt] pág.83: ""De: Iñaki Loroño Lucena Para: Aldezle CC: JOSE RAMON VEGA Asunto: RE: Situación desesperada de Iñaki Loroño"". (2) Pedro Iriondo NO era Vicerrector de PDI sino SECRETARIO GENERAL de la UPV/EHU. Acreditado por convocatoria de la reunión del 22/03/2019 (pág.80): ""reunión informativa el viernes 22 de marzo a las 11:00 [...] para estar con el Secretario General D. Pedro Iriondo"". El correo directo a Iriondo del 28/03 pidiendo respuesta escrita NO se localiza en los extractos.","Corregir grafo: (1) el correo 28/03/2019 va al Aldezle, no a Iriondo; (2) Pedro Iriondo era Secretario General, no Vicerrector de PDI. La reunión del 22/03/2019 con Iriondo queda acreditada por convocatoria en pág.80. Verificar si existe un correo separado a Iriondo o si el grafo confundió el destinatario.",CORREGIR — dos errores detectados cuaderno2
EVT-ORD-0518,CORREGIR,[HECHO_PROPIO] El doc (28_ocred.txt) describe el correo de César Saiz a Loroño del 10/10/2019 (oferta examen salud + aviso sobre protocolo de acoso). La afirmación del grafo describe el reenvío de Loroño a Bilbao/Balluerka al día siguiente (11/10/2019). Son dos eventos consecutivos de la misma cadena. El grafo describe el segundo; el doc de NbLM acredita el primero. Corregir para distinguir ambos o indicar que la fuente cubre el contexto.,Corregir: distinguir el correo de Saiz (10/10/2019) del reenvío de Loroño (11/10/2019); citar ambos si procede,Auditado NbLM lote1 — REQUIERE RE-VERIFICACIÓN (ID mismatch en 2ª entrega NbLM)
EVT-ORD-0519,CONFIRMAR,"[HECHO_PROPIO] CONFIRMADO. Cita literal verificada en 39_ocred.txt (Lote_010): ""Ayer hablé con ustedes sobre mi situación (Iñaki Loroño Lucena 11924988V) y me informaron que llegaba a los 730 días de baja por la misma patología el 14 del presente. Actualmente mi médico me ha extendido una baja de un mes (27/09/2020) que lógicamente supera la fecha del 24."" CORRECCIÓN: el grafo indica que la fecha es 10/09/2020 pero la cita dice ""ayer hablé... me informaron que llegaba el 14 del presente"" — coherente con el 10/09 si el día anterior fue el 09/09. Fecha del grafo correcta.","Incorporar con cita literal verificada. Fuente: 39_ocred.txt, Lote_010.",CONFIRMADO — cuaderno B limpio (sin CSV)
EVT-ORD-0520,CONFIRMAR,"[HECHO_PROPIO] CONFIRMADO. Cita literal verificada en 40_ocred.txt (Lote_010): ""El 24-02-2020 interpuse denuncia en la Inspección de Trabajo de Bizkaia. He llamado para interesarme por la misma y no son capaces de encontrarla ya que la registré en la Agencia Tributaria. Me han dicho que mandase copia por correo para poder darme información sobre la misma."" Confirma exactamente lo que describe el grafo.","Incorporar con cita literal verificada. Fuente: 40_ocred.txt, Lote_010.",CONFIRMADO — cuaderno B limpio (sin CSV)
EVT-ORD-0521,CORREGIR,"[HECHO_PROPIO] CORREGIR. 42_ocred.txt no localizado como correo de Loroño a Iturrate. Lo que SÍ consta el 16/09/2020 es distinto: [107adjunto-142_ocred.txt] pág.98 acredita que ESE DÍA la UPV informó a la Inspectora de que estaba planificando la reincorporación (comunicación de la empresa, no de Loroño). Las llamadas de Clemente a domicilio durante la baja sí están acreditadas en [321-367_ocred.pdf] pág.328 (Loroño las identifica como prueba: ""Llamada de Manuel Clemente De Miguel (28/10/2019) a mi casa mientras estaba de baja. Me insulta y me grita""). Corrección: el hecho ""Loroño denuncia amenazas a Iturrate el 16/09/2020"" no está acreditado como tal; lo que hay es (1) actuación inspectora de la UPV ante ITSS ese día, y (2) las llamadas amenazantes acreditadas en otro doc.",Reformular: separar dos hechos distintos: (A) 16/09/2020 UPV informa a ITSS de planificación de reincorporación [pág.98]; (B) amenazas de Clemente por teléfono durante baja (28/10/2019) acreditadas en [321-367_ocred.pdf] pág.328.,CORREGIR — cuaderno2 tanda2
EVT-ORD-0671,CORREGIR-PARCIAL,"[HECHO_PROPIO] Reuniones de auditoría UGAs, primavera 2013 (Lote_005). El auditor Manuel Rey reconoce falta de notificación oficial a Loroño y delega responsabilidad en Felisa Chinchetru (jefa del servicio). La frase ""sabían que había algo turbio"" es percepción de Loroño, no cita textual documentada.","Redactar como: ""En primavera 2013 el auditor Manuel Rey reconoce la falta de notificación; Loroño alega resistencia de los auditores a ejecutar la orden por irregularidades detectadas."" Eliminar la frase literal no acreditada.",Auditado NbLM reverif — fuente Lote_005
